Questions,Code,Decode,,Decode,usage
BIG5: Session Attendance,BIGSE29ATTD,Defining Health & Safety Leadership Behaviors,,Defining Health & Safety Leadership Behaviors,Not Used
BIG5: Session Attendance,BIGSE30ATTD,The BIM 4D modeling though the project life cycle,,The BIM 4D modeling though the project life cycle,Not Used
BIG5: Session Attendance,BIGSE31ATTD,Sustainability Beyond Design,,Sustainability Beyond Design,Not Used
BIG5: Session Attendance,BIGSE32ATTD,Indoor Environmental Quality (IEQ) Strategies for LEED v4,,Indoor Environmental Quality (IEQ) Strategies for LEED v4,Not Used
BIG5: Session Attendance,BIGSE33ATTD,BIM Between Theory and Practice,,BIM Between Theory and Practice,Not Used
BIG5: Session Attendance,BIGSE34ATTD,Establishing a Difference that can be preserved,,Establishing a Difference that can be preserved,Not Used
BIG5: Session Attendance,BIGSE35ATTD,Do Complex Innovative Building Envelopes Comprise Health & Safety?,,Do Complex Innovative Building Envelopes Comprise Health & Safety?,Not Used
BIG5: Session Attendance,BIGSE36ATTD,IoT-izing The Construction Industry,,IoT-izing The Construction Industry,Not Used
BIG5: Session Attendance,BIGSE37ATTD,Smart Construction & Architecture,,Smart Construction & Architecture,Not Used
BIG5: Session Attendance,BIGSE38ATTD,Energy and Atmosphere Strategies for LEED v4,,Energy and Atmosphere Strategies for LEED v4,Not Used
BIG5: Session Attendance,BIGSE39ATTD,Leadership to Drive Projects and Project Management Career to Effective Change,,Leadership to Drive Projects and Project Management Career to Effective Change,Not Used
BIG5: Session Attendance,BIGSE40ATTD,How to do Business in the UAE,,How to do Business in the UAE,Not Used
BIG5: Session Attendance,BIGSE41ATTD,Social Media in the Contruction Field,,Social Media in the Contruction Field,Not Used
BIG5: Session Attendance,BIGSE42ATTD,SCM Contribution to Successful Project Management & Analyzing The extensive Project Pipeline,,SCM Contribution to Successful Project Management & Analyzing The extensive Project Pipeline,Not Used
BIG5: Session Attendance,BIGSE43ATTD,BIM Case study of office with warehouse,,BIM Case study of office with warehouse,Not Used
BIG5: Session Attendance,BIGSE44ATTD,Efficient and sustainable cooling,,Efficient and sustainable cooling,Not Used
BIG5: Session Attendance,BIGSE45ATTD,Sustainability Vs. Life Riddles,,Sustainability Vs. Life Riddles,Not Used
BIG5: Session Attendance,BIGSE46ATTD,Controlling Productivity,,Controlling Productivity,Not Used
BIG5: Session Attendance,BIGSE47ATTD,Recognizing PPP as a driver for sustainable infrastructure industry,,Recognizing PPP as a driver for sustainable infrastructure industry,Not Used
BIG5: Session Attendance,BIGSE48ATTD,,,,Not Used
BIG5: Session Attendance,BIGSE49ATTD,Integrating Material and Textural Information for As-Built BIM Using IR Sensing,,Integrating Material and Textural Information for As-Built BIM Using IR Sensing,Not Used
BIG5: Session Attendance,BIGSE50ATTD,Significance of MEP - What's next for District Cooling?,,Significance of MEP - What's next for District Cooling?,Not Used
BIG5: Session Attendance,BIGSE51ATTD,Evaluating the impact and application of sustainable development in the GCCs,,Evaluating the impact and application of sustainable development in the GCCs,Not Used
BIG5: Session Attendance,BIGSE52ATTD,Intrapreneurship - Need of the Hour in Program Management,,Intrapreneurship - Need of the Hour in Program Management,Not Used
BIG5: Session Attendance,BIGSE53ATTD,How to use licensing to sell your products,,How to use licensing to sell your products,Not Used
BIG5: Session Attendance,BIGSE54ATTD,IOT & Drones Logistics Technologies in Construction,,IOT & Drones Logistics Technologies in Construction,Not Used
BIG5: Session Attendance,BIGSE55ATTD,Bim4Analysis,,Bim4Analysis,Not Used
BIG5: Session Attendance,BIGSE56ATTD,Energy Efficient HVAC System's for Healthcare,,Energy Efficient HVAC System's for Healthcare,Not Used
BIG5: Session Attendance,BIGSE57ATTD,Layering the Future,,Layering the Future,Not Used
BIG5: Session Attendance,BIGSE58ATTD,Construction Projects and their impact on project's constraints,,Construction Projects and their impact on project's constraints,Not Used
BIG5: Session Attendance,BIGSE59ATTD,Effective Marketing strategies in the Construction Industry,,Effective Marketing strategies in the Construction Industry,Not Used
BIG5: Session Attendance,BIGSE60ATTD,Supply-chain management in construction industry,,Supply-chain management in construction industry,Not Used
BIG5: Session Attendance,BIGSE61ATTD,What's wrong with BIM? - Challenges in the Adoption of a new Planning Paradigm,,What's wrong with BIM? - Challenges in the Adoption of a new Planning Paradigm,Not Used
BIG5: Session Attendance,BIGSE62ATTD,MEP in transport Infrastructure,,MEP in transport Infrastructure,Not Used
BIG5: Session Attendance,BIGSE63ATTD,Business Opportunitires and growth areas in the Construction Industry in today's New Normal,,Business Opportunitires and growth areas in the Construction Industry in today's New Normal,Not Used
BIG5: Session Attendance,BIGSE64ATTD,InstitutionalizingProject Management,,InstitutionalizingProject Management,Not Used
BIG5: Session Attendance,BIGSE65ATTD,Finance for non-finance managers,,Finance for non-finance managers,Not Used
BIG5: Session Attendance,BIGSE66ATTD,Procurement transformation Strategies,,Procurement transformation Strategies,Not Used
BIG5: Session Attendance,BIGSE67ATTD,How to get the best out of BIM intelligence in design process and taking it forward in construction,,How to get the best out of BIM intelligence in design process and taking it forward in construction,Not Used
BIG5: Session Attendance,BIGSE68ATTD,"MEP trade, challenges, trends and solutions",,"MEP trade, challenges, trends and solutions",Not Used
BIG5: Session Attendance,BIGSE69ATTD,Regional Technical Solutions for LEED,,Regional Technical Solutions for LEED,Not Used
BIG5: Session Attendance,BIGSE70ATTD,Does your strategy performance truly reflect your portfolio performance?,,Does your strategy performance truly reflect your portfolio performance?,Not Used
BIG5: Session Attendance,BIGSE71ATTD,Future of Retail Design and Trends,,Future of Retail Design and Trends,Not Used
BIG5: Session Attendance,BIGSE72ATTD,Logistics Planning of Construction Projects for Expo 2020,,Logistics Planning of Construction Projects for Expo 2020,Not Used
BIG5: Session Attendance,BIGSE73ATTD,BIM for Construction,,BIM for Construction,Not Used
BIG5: Session Attendance,BIGSE74ATTD,Comparative Analysis of Tradtional Vs. Sustainable Chilled Water Plant Design,,Comparative Analysis of Tradtional Vs. Sustainable Chilled Water Plant Design,Not Used
BIG5: Session Attendance,BIGSE75ATTD,Tools for sustainable development at district level,,Tools for sustainable development at district level,Not Used
BIG5: Session Attendance,BIGSE76ATTD,Towards Lean Contruction: the furutre of BIM-based project plannin and control,,Towards Lean Contruction: the furutre of BIM-based project plannin and control,Not Used
BIG5: Certificate Early Attendance,BIGSE1A30,Keys to resolving the inevitable construction dispute,,Keys to resolving the inevitable construction dispute,Not Used
BIG5: Certificate Early Attendance,BIGSE2A30,Condition of assets a growing concern,,Condition of assets a growing concern,Not Used
BIG5: Certificate Early Attendance,BIGSE3A30,BIM as information management and design process,,BIM as information management and design process,Not Used
BIG5: Certificate Early Attendance,BIGSE4A30,Architectural Advancement: Creating an Iconic Development,,Architectural Advancement: Creating an Iconic Development,Not Used
BIG5: Certificate Early Attendance,BIGSE5A30,Zero Carbon Buildings: Management of Design and Construction,,Zero Carbon Buildings: Management of Design and Construction,Not Used
BIG5: Certificate Early Attendance,BIGSE6A30,Implementation Practical Risk Management for Mega Construction Projects: Project Management,,Implementation Practical Risk Management for Mega Construction Projects: Project Management,Not Used
BIG5: Certificate Early Attendance,BIGSE7A30,Refurbishment Engineering and Sustainability,,Refurbishment Engineering and Sustainability,Not Used
BIG5: Certificate Early Attendance,BIGSE8A30,Construction Quality Management,,Construction Quality Management,Not Used
BIG5: Certificate Early Attendance,BIGSE9A30,Good practice during work at quarries,,Good practice during work at quarries,Not Used
BIG5: Certificate Early Attendance,BIGSE10A30,How BIM is transforming the construction industry,,How BIM is transforming the construction industry,Not Used
BIG5: Certificate Early Attendance,BIGSE11A30,Adaptive Architecture: convertible structures,,Adaptive Architecture: convertible structures,Not Used
BIG5: Certificate Early Attendance,BIGSE12A30,The Importance of Reserve Fund Studies in Protecting Property Value,,The Importance of Reserve Fund Studies in Protecting Property Value,Not Used
BIG5: Certificate Early Attendance,BIGSE13A30,Sidestep Complexity,,Sidestep Complexity,Not Used
BIG5: Certificate Early Attendance,BIGSE14A30,LEED for Building Owners and Client Representatives,,LEED for Building Owners and Client Representatives,Not Used
BIG5: Certificate Early Attendance,BIGSE15A30,How to import and export from the U.K & Europe,,How to import and export from the U.K & Europe,Not Used
BIG5: Certificate Early Attendance,BIGSE16A30,Driving Culture change through Leadership,,Driving Culture change through Leadership,Not Used
BIG5: Certificate Early Attendance,BIGSE17A30,"BIM there, done that",,"BIM there, done that",Not Used
BIG5: Certificate Early Attendance,BIGSE18A30,Improving Facade performance through design,,Improving Facade performance through design,Not Used
BIG5: Certificate Early Attendance,BIGSE19A30,Importance of energy audits and energy reduction strategies,,Importance of energy audits and energy reduction strategies,Not Used
BIG5: Certificate Early Attendance,BIGSE20A30,How to make PMOs critical to Business: The Business PMO,,How to make PMOs critical to Business: The Business PMO,Not Used
BIG5: Certificate Early Attendance,BIGSE21A30,LEED for Contractors,,LEED for Contractors,Not Used
BIG5: Certificate Early Attendance,BIGSE22A30,Sustainability for C-level Executive,,Sustainability for C-level Executive,Not Used
BIG5: Certificate Early Attendance,BIGSE23A30,All you need to know about the new UAE Fire Code,,All you need to know about the new UAE Fire Code,Not Used
BIG5: Certificate Early Attendance,BIGSE24A30,BIM for Coordination - from Concept to Construction,,BIM for Coordination - from Concept to Construction,Not Used
BIG5: Certificate Early Attendance,BIGSE25A30,"Transformation, Translation and Representation",,"Transformation, Translation and Representation",Not Used
BIG5: Certificate Early Attendance,BIGSE26A30,Leapfrogging the residential new construction industry in the GCC to a sustainable future,,Leapfrogging the residential new construction industry in the GCC to a sustainable future,Not Used
BIG5: Certificate Early Attendance,BIGSE27A30,Is every request from business a project?,,Is every request from business a project?,Not Used
BIG5: Certificate Early Attendance,BIGSE28A30,Labor and Employment Issues,,Labor and Employment Issues,Not Used
BIG5: Certificate Early Attendance,BIGSE29A30,Defining Health & Safety Leadership Behaviors,,Defining Health & Safety Leadership Behaviors,Not Used
BIG5: Certificate Early Attendance,BIGSE30A30,The BIM 4D modeling though the project life cycle,,The BIM 4D modeling though the project life cycle,Not Used
BIG5: Certificate Early Attendance,BIGSE31A30,Sustainability Beyond Design,,Sustainability Beyond Design,Not Used
BIG5: Certificate Early Attendance,BIGSE32A30,Indoor Environmental Quality (IEQ) Strategies for LEED v4,,Indoor Environmental Quality (IEQ) Strategies for LEED v4,Not Used
BIG5: Certificate Early Attendance,BIGSE33A30,BIM Between Theory and Practice,,BIM Between Theory and Practice,Not Used
BIG5: Certificate Early Attendance,BIGSE34A30,Establishing a Difference that can be preserved,,Establishing a Difference that can be preserved,Not Used
BIG5: Certificate Early Attendance,BIGSE35A30,Do Complex Innovative Building Envelopes Comprise Health & Safety?,,Do Complex Innovative Building Envelopes Comprise Health & Safety?,Not Used
BIG5: Certificate Early Attendance,BIGSE36A30,IoT-izing The Construction Industry,,IoT-izing The Construction Industry,Not Used
BIG5: Certificate Early Attendance,BIGSE37A30,Smart Construction & Architecture,,Smart Construction & Architecture,Not Used
BIG5: Certificate Early Attendance,BIGSE38A30,Energy and Atmosphere Strategies for LEED v4,,Energy and Atmosphere Strategies for LEED v4,Not Used
BIG5: Certificate Early Attendance,BIGSE39A30,Leadership to Drive Projects and Project Management Career to Effective Change,,Leadership to Drive Projects and Project Management Career to Effective Change,Not Used
BIG5: Certificate Early Attendance,BIGSE40A30,How to do Business in the UAE,,How to do Business in the UAE,Not Used
BIG5: Certificate Early Attendance,BIGSE41A30,Social Media in the Contruction Field,,Social Media in the Contruction Field,Not Used
BIG5: Certificate Early Attendance,BIGSE42A30,SCM Contribution to Successful Project Management & Analyzing The extensive Project Pipeline,,SCM Contribution to Successful Project Management & Analyzing The extensive Project Pipeline,Not Used
BIG5: Certificate Early Attendance,BIGSE43A30,BIM Case study of office with warehouse,,BIM Case study of office with warehouse,Not Used
BIG5: Certificate Early Attendance,BIGSE44A30,Efficient and sustainable cooling,,Efficient and sustainable cooling,Not Used
BIG5: Certificate Early Attendance,BIGSE45A30,Sustainability Vs. Life Riddles,,Sustainability Vs. Life Riddles,Not Used
BIG5: Certificate Early Attendance,BIGSE46A30,Controlling Productivity,,Controlling Productivity,Not Used
BIG5: Certificate Early Attendance,BIGSE47A30,Recognizing PPP as a driver for sustainable infrastructure industry,,Recognizing PPP as a driver for sustainable infrastructure industry,Not Used
BIG5: Certificate Early Attendance,BIGSE48A30,,,,Not Used
BIG5: Certificate Early Attendance,BIGSE49A30,Integrating Material and Textural Information for As-Built BIM Using IR Sensing,,Integrating Material and Textural Information for As-Built BIM Using IR Sensing,Not Used
BIG5: Certificate Early Attendance,BIGSE50A30,Significance of MEP - What's next for District Cooling?,,Significance of MEP - What's next for District Cooling?,Not Used
BIG5: Certificate Early Attendance,BIGSE51A30,Evaluating the impact and application of sustainable development in the GCCs,,Evaluating the impact and application of sustainable development in the GCCs,Not Used
BIG5: Certificate Early Attendance,BIGSE52A30,Intrapreneurship - Need of the Hour in Program Management,,Intrapreneurship - Need of the Hour in Program Management,Not Used
BIG5: Certificate Early Attendance,BIGSE53A30,How to use licensing to sell your products,,How to use licensing to sell your products,Not Used
BIG5: Certificate Early Attendance,BIGSE54A30,IOT & Drones Logistics Technologies in Construction,,IOT & Drones Logistics Technologies in Construction,Not Used
BIG5: Certificate Early Attendance,BIGSE55A30,Bim4Analysis,,Bim4Analysis,Not Used
BIG5: Certificate Early Attendance,BIGSE56A30,Energy Efficient HVAC System's for Healthcare,,Energy Efficient HVAC System's for Healthcare,Not Used
BIG5: Certificate Early Attendance,BIGSE57A30,Layering the Future,,Layering the Future,Not Used
BIG5: Certificate Early Attendance,BIGSE58A30,Construction Projects and their impact on project's constraints,,Construction Projects and their impact on project's constraints,Not Used
BIG5: Certificate Early Attendance,BIGSE59A30,Effective Marketing strategies in the Construction Industry,,Effective Marketing strategies in the Construction Industry,Not Used
BIG5: Certificate Early Attendance,BIGSE60A30,Supply-chain management in construction industry,,Supply-chain management in construction industry,Not Used
BIG5: Certificate Early Attendance,BIGSE61A30,What's wrong with BIM? - Challenges in the Adoption of a new Planning Paradigm,,What's wrong with BIM? - Challenges in the Adoption of a new Planning Paradigm,Not Used
BIG5: Certificate Early Attendance,BIGSE62A30,MEP in transport Infrastructure,,MEP in transport Infrastructure,Not Used
BIG5: Certificate Early Attendance,BIGSE63A30,Business Opportunitires and growth areas in the Construction Industry in today's New Normal,,Business Opportunitires and growth areas in the Construction Industry in today's New Normal,Not Used
BIG5: Certificate Early Attendance,BIGSE64A30,InstitutionalizingProject Management,,InstitutionalizingProject Management,Not Used
BIG5: Certificate Early Attendance,BIGSE65A30,Finance for non-finance managers,,Finance for non-finance managers,Not Used
BIG5: Certificate Early Attendance,BIGSE66A30,Procurement transformation Strategies,,Procurement transformation Strategies,Not Used
BIG5: Certificate Early Attendance,BIGSE67A30,How to get the best out of BIM intelligence in design process and taking it forward in construction,,How to get the best out of BIM intelligence in design process and taking it forward in construction,Not Used
BIG5: Certificate Early Attendance,BIGSE68A30,"MEP trade, challenges, trends and solutions",,"MEP trade, challenges, trends and solutions",Not Used
BIG5: Certificate Early Attendance,BIGSE69A30,Regional Technical Solutions for LEED,,Regional Technical Solutions for LEED,Not Used
BIG5: Certificate Early Attendance,BIGSE70A30,Does your strategy performance truly reflect your portfolio performance?,,Does your strategy performance truly reflect your portfolio performance?,Not Used
BIG5: Certificate Early Attendance,BIGSE71A30,Future of Retail Design and Trends,,Future of Retail Design and Trends,Not Used
BIG5: Certificate Early Attendance,BIGSE72A30,Logistics Planning of Construction Projects for Expo 2020,,Logistics Planning of Construction Projects for Expo 2020,Not Used
BIG5: Certificate Early Attendance,BIGSE73A30,BIM for Construction,,BIM for Construction,Not Used
BIG5: Certificate Early Attendance,BIGSE74A30,Comparative Analysis of Tradtional Vs. Sustainable Chilled Water Plant Design,,Comparative Analysis of Tradtional Vs. Sustainable Chilled Water Plant Design,Not Used
BIG5: Certificate Early Attendance,BIGSE75A30,Tools for sustainable development at district level,,Tools for sustainable development at district level,Not Used
BIG5: Certificate Early Attendance,BIGSE76A30,Towards Lean Contruction: the furutre of BIM-based project plannin and control,,Towards Lean Contruction: the furutre of BIM-based project plannin and control,Not Used
BIG5: Certificate Late Attendance,BIGSE1B,Keys to resolving the inevitable construction dispute,,Keys to resolving the inevitable construction dispute,Not Used
BIG5: Certificate Late Attendance,BIGSE2B,Condition of assets a growing concern,,Condition of assets a growing concern,Not Used
BIG5: Certificate Late Attendance,BIGSE3B,BIM as information management and design process,,BIM as information management and design process,Not Used
BIG5: Certificate Late Attendance,BIGSE4B,Architectural Advancement: Creating an Iconic Development,,Architectural Advancement: Creating an Iconic Development,Not Used
BIG5: Certificate Late Attendance,BIGSE5B,Zero Carbon Buildings: Management of Design and Construction,,Zero Carbon Buildings: Management of Design and Construction,Not Used
BIG5: Certificate Late Attendance,BIGSE6B,Implementation Practical Risk Management for Mega Construction Projects: Project Management,,Implementation Practical Risk Management for Mega Construction Projects: Project Management,Not Used
BIG5: Certificate Late Attendance,BIGSE7B,Refurbishment Engineering and Sustainability,,Refurbishment Engineering and Sustainability,Not Used
BIG5: Certificate Late Attendance,BIGSE8B,Construction Quality Management,,Construction Quality Management,Not Used
BIG5: Certificate Late Attendance,BIGSE9B,Good practice during work at quarries,,Good practice during work at quarries,Not Used
BIG5: Certificate Late Attendance,BIGSE10B,How BIM is transforming the construction industry,,How BIM is transforming the construction industry,Not Used
BIG5: Certificate Late Attendance,BIGSE11B,Adaptive Architecture: convertible structures,,Adaptive Architecture: convertible structures,Not Used
BIG5: Certificate Late Attendance,BIGSE12B,The Importance of Reserve Fund Studies in Protecting Property Value,,The Importance of Reserve Fund Studies in Protecting Property Value,Not Used
BIG5: Certificate Late Attendance,BIGSE13B,Sidestep Complexity,,Sidestep Complexity,Not Used
BIG5: Certificate Late Attendance,BIGSE14B,LEED for Building Owners and Client Representatives,,LEED for Building Owners and Client Representatives,Not Used
BIG5: Certificate Late Attendance,BIGSE15B,How to import and export from the U.K & Europe,,How to import and export from the U.K & Europe,Not Used
BIG5: Certificate Late Attendance,BIGSE16B,Driving Culture change through Leadership,,Driving Culture change through Leadership,Not Used
BIG5: Certificate Late Attendance,BIGSE17B,"BIM there, done that",,"BIM there, done that",Not Used
BIG5: Certificate Late Attendance,BIGSE18B,Improving Facade performance through design,,Improving Facade performance through design,Not Used
BIG5: Certificate Late Attendance,BIGSE19B,Importance of energy audits and energy reduction strategies,,Importance of energy audits and energy reduction strategies,Not Used
BIG5: Certificate Late Attendance,BIGSE20B,How to make PMOs critical to Business: The Business PMO,,How to make PMOs critical to Business: The Business PMO,Not Used
BIG5: Certificate Late Attendance,BIGSE21B,LEED for Contractors,,LEED for Contractors,Not Used
BIG5: Certificate Late Attendance,BIGSE22B,Sustainability for C-level Executive,,Sustainability for C-level Executive,Not Used
BIG5: Certificate Late Attendance,BIGSE23B,All you need to know about the new UAE Fire Code,,All you need to know about the new UAE Fire Code,Not Used
BIG5: Certificate Late Attendance,BIGSE24B,BIM for Coordination - from Concept to Construction,,BIM for Coordination - from Concept to Construction,Not Used
BIG5: Certificate Late Attendance,BIGSE25B,"Transformation, Translation and Representation",,"Transformation, Translation and Representation",Not Used
BIG5: Certificate Late Attendance,BIGSE26B,Leapfrogging the residential new construction industry in the GCC to a sustainable future,,Leapfrogging the residential new construction industry in the GCC to a sustainable future,Not Used
BIG5: Certificate Late Attendance,BIGSE27B,Is every request from business a project?,,Is every request from business a project?,Not Used
BIG5: Certificate Late Attendance,BIGSE28B,Labor and Employment Issues,,Labor and Employment Issues,Not Used
BIG5: Certificate Late Attendance,BIGSE29B,Defining Health & Safety Leadership Behaviors,,Defining Health & Safety Leadership Behaviors,Not Used
BIG5: Certificate Late Attendance,BIGSE30B,The BIM 4D modeling though the project life cycle,,The BIM 4D modeling though the project life cycle,Not Used
BIG5: Certificate Late Attendance,BIGSE31B,Sustainability Beyond Design,,Sustainability Beyond Design,Not Used
BIG5: Certificate Late Attendance,BIGSE32B,Indoor Environmental Quality (IEQ) Strategies for LEED v4,,Indoor Environmental Quality (IEQ) Strategies for LEED v4,Not Used
BIG5: Certificate Late Attendance,BIGSE33B,BIM Between Theory and Practice,,BIM Between Theory and Practice,Not Used
BIG5: Certificate Late Attendance,BIGSE34B,Establishing a Difference that can be preserved,,Establishing a Difference that can be preserved,Not Used
BIG5: Certificate Late Attendance,BIGSE35B,Do Complex Innovative Building Envelopes Comprise Health & Safety?,,Do Complex Innovative Building Envelopes Comprise Health & Safety?,Not Used
BIG5: Certificate Late Attendance,BIGSE36B,IoT-izing The Construction Industry,,IoT-izing The Construction Industry,Not Used
BIG5: Certificate Late Attendance,BIGSE37B,Smart Construction & Architecture,,Smart Construction & Architecture,Not Used
BIG5: Certificate Late Attendance,BIGSE38B,Energy and Atmosphere Strategies for LEED v4,,Energy and Atmosphere Strategies for LEED v4,Not Used
BIG5: Certificate Late Attendance,BIGSE39B,Leadership to Drive Projects and Project Management Career to Effective Change,,Leadership to Drive Projects and Project Management Career to Effective Change,Not Used
BIG5: Certificate Late Attendance,BIGSE40B,How to do Business in the UAE,,How to do Business in the UAE,Not Used
BIG5: Certificate Late Attendance,BIGSE41B,Social Media in the Contruction Field,,Social Media in the Contruction Field,Not Used
BIG5: Certificate Late Attendance,BIGSE42B,SCM Contribution to Successful Project Management & Analyzing The extensive Project Pipeline,,SCM Contribution to Successful Project Management & Analyzing The extensive Project Pipeline,Not Used
BIG5: Certificate Late Attendance,BIGSE43B,BIM Case study of office with warehouse,,BIM Case study of office with warehouse,Not Used
BIG5: Certificate Late Attendance,BIGSE44B,Efficient and sustainable cooling,,Efficient and sustainable cooling,Not Used
BIG5: Certificate Late Attendance,BIGSE45B,Sustainability Vs. Life Riddles,,Sustainability Vs. Life Riddles,Not Used
BIG5: Certificate Late Attendance,BIGSE46B,Controlling Productivity,,Controlling Productivity,Not Used
BIG5: Certificate Late Attendance,BIGSE47B,Recognizing PPP as a driver for sustainable infrastructure industry,,Recognizing PPP as a driver for sustainable infrastructure industry,Not Used
BIG5: Certificate Late Attendance,BIGSE48B,,,,Not Used
BIG5: Certificate Late Attendance,BIGSE49B,Integrating Material and Textural Information for As-Built BIM Using IR Sensing,,Integrating Material and Textural Information for As-Built BIM Using IR Sensing,Not Used
BIG5: Certificate Late Attendance,BIGSE50B,Significance of MEP - What's next for District Cooling?,,Significance of MEP - What's next for District Cooling?,Not Used
BIG5: Certificate Late Attendance,BIGSE51B,Evaluating the impact and application of sustainable development in the GCCs,,Evaluating the impact and application of sustainable development in the GCCs,Not Used
BIG5: Certificate Late Attendance,BIGSE52B,Intrapreneurship - Need of the Hour in Program Management,,Intrapreneurship - Need of the Hour in Program Management,Not Used
BIG5: Certificate Late Attendance,BIGSE53B,How to use licensing to sell your products,,How to use licensing to sell your products,Not Used
BIG5: Certificate Late Attendance,BIGSE54B,IOT & Drones Logistics Technologies in Construction,,IOT & Drones Logistics Technologies in Construction,Not Used
BIG5: Certificate Late Attendance,BIGSE55B,Bim4Analysis,,Bim4Analysis,Not Used
BIG5: Certificate Late Attendance,BIGSE56B,Energy Efficient HVAC System's for Healthcare,,Energy Efficient HVAC System's for Healthcare,Not Used
BIG5: Certificate Late Attendance,BIGSE57B,Layering the Future,,Layering the Future,Not Used
BIG5: Certificate Late Attendance,BIGSE58B,Construction Projects and their impact on project's constraints,,Construction Projects and their impact on project's constraints,Not Used
BIG5: Certificate Late Attendance,BIGSE59B,Effective Marketing strategies in the Construction Industry,,Effective Marketing strategies in the Construction Industry,Not Used
BIG5: Certificate Late Attendance,BIGSE60B,Supply-chain management in construction industry,,Supply-chain management in construction industry,Not Used
BIG5: Certificate Late Attendance,BIGSE61B,What's wrong with BIM? - Challenges in the Adoption of a new Planning Paradigm,,What's wrong with BIM? - Challenges in the Adoption of a new Planning Paradigm,Not Used
BIG5: Certificate Late Attendance,BIGSE62B,MEP in transport Infrastructure,,MEP in transport Infrastructure,Not Used
BIG5: Certificate Late Attendance,BIGSE63B,Business Opportunitires and growth areas in the Construction Industry in today's New Normal,,Business Opportunitires and growth areas in the Construction Industry in today's New Normal,Not Used
BIG5: Certificate Late Attendance,BIGSE64B,InstitutionalizingProject Management,,InstitutionalizingProject Management,Not Used
BIG5: Certificate Late Attendance,BIGSE65B,Finance for non-finance managers,,Finance for non-finance managers,Not Used
BIG5: Certificate Late Attendance,BIGSE66B,Procurement transformation Strategies,,Procurement transformation Strategies,Not Used
BIG5: Certificate Late Attendance,BIGSE67B,How to get the best out of BIM intelligence in design process and taking it forward in construction,,How to get the best out of BIM intelligence in design process and taking it forward in construction,Not Used
BIG5: Certificate Late Attendance,BIGSE68B,"MEP trade, challenges, trends and solutions",,"MEP trade, challenges, trends and solutions",Not Used
BIG5: Certificate Late Attendance,BIGSE69B,Regional Technical Solutions for LEED,,Regional Technical Solutions for LEED,Not Used
BIG5: Certificate Late Attendance,BIGSE70B,Does your strategy performance truly reflect your portfolio performance?,,Does your strategy performance truly reflect your portfolio performance?,Not Used
BIG5: Certificate Late Attendance,BIGSE71B,Future of Retail Design and Trends,,Future of Retail Design and Trends,Not Used
BIG5: Certificate Late Attendance,BIGSE72B,Logistics Planning of Construction Projects for Expo 2020,,Logistics Planning of Construction Projects for Expo 2020,Not Used
BIG5: Certificate Late Attendance,BIGSE73B,BIM for Construction,,BIM for Construction,Not Used
BIG5: Certificate Late Attendance,BIGSE74B,Comparative Analysis of Tradtional Vs. Sustainable Chilled Water Plant Design,,Comparative Analysis of Tradtional Vs. Sustainable Chilled Water Plant Design,Not Used
BIG5: Certificate Late Attendance,BIGSE75B,Tools for sustainable development at district level,,Tools for sustainable development at district level,Not Used
BIG5: Certificate Late Attendance,BIGSE76B,Towards Lean Contruction: the furutre of BIM-based project plannin and control,,Towards Lean Contruction: the furutre of BIM-based project plannin and control,Not Used
BIG5: Certificate Early Attendance - Collected,XBIGSE1A30,Keys to resolving the inevitable construction dispute,,Keys to resolving the inevitable construction dispute,Not Used
BIG5: Certificate Early Attendance - Collected,XBIGSE2A30,Condition of assets a growing concern,,Condition of assets a growing concern,Not Used
BIG5: Certificate Early Attendance - Collected,XBIGSE3A30,BIM as information management and design process,,BIM as information management and design process,Not Used
BIG5: Certificate Early Attendance - Collected,XBIGSE4A30,Architectural Advancement: Creating an Iconic Development,,Architectural Advancement: Creating an Iconic Development,Not Used
BIG5: Certificate Early Attendance - Collected,XBIGSE5A30,Zero Carbon Buildings: Management of Design and Construction,,Zero Carbon Buildings: Management of Design and Construction,Not Used
BIG5: Certificate Early Attendance - Collected,XBIGSE6A30,Implementation Practical Risk Management for Mega Construction Projects: Project Management,,Implementation Practical Risk Management for Mega Construction Projects: Project Management,Not Used
BIG5: Certificate Early Attendance - Collected,XBIGSE7A30,Refurbishment Engineering and Sustainability,,Refurbishment Engineering and Sustainability,Not Used
BIG5: Certificate Early Attendance - Collected,XBIGSE8A30,Construction Quality Management,,Construction Quality Management,Not Used
BIG5: Certificate Early Attendance - Collected,XBIGSE9A30,Good practice during work at quarries,,Good practice during work at quarries,Not Used
BIG5: Certificate Early Attendance - Collected,XBIGSE10A30,How BIM is transforming the construction industry,,How BIM is transforming the construction industry,Not Used
BIG5: Certificate Early Attendance - Collected,XBIGSE11A30,Adaptive Architecture: convertible structures,,Adaptive Architecture: convertible structures,Not Used
BIG5: Certificate Early Attendance - Collected,XBIGSE12A30,The Importance of Reserve Fund Studies in Protecting Property Value,,The Importance of Reserve Fund Studies in Protecting Property Value,Not Used
BIG5: Certificate Early Attendance - Collected,XBIGSE13A30,Sidestep Complexity,,Sidestep Complexity,Not Used
BIG5: Certificate Early Attendance - Collected,XBIGSE14A30,LEED for Building Owners and Client Representatives,,LEED for Building Owners and Client Representatives,Not Used
BIG5: Certificate Early Attendance - Collected,XBIGSE15A30,How to import and export from the U.K & Europe,,How to import and export from the U.K & Europe,Not Used
